X,Y,Z,N,E,Z2,Latitude,Longitude,Time,Speed,Course,Accuracy
-0.00947,-0.02598,-0.97129,-0.06192,0.17201,-0.95433,51.2369847949594,22.5086386408657,"2015-03-31 13:38:53,651",0,0,0
-0.01631,0.00039,-1.0084,-0.05789,0.15595,-0.99472,51.2369847949594,22.5086386408657,"2015-03-31 13:38:53,751",0,0,0
-0.03486,-0.00742,-1.03672,-0.0448,0.17645,-1.02123,51.2369847949594,22.5086386408657,"2015-03-31 13:38:53,85",0,0,0
0.02861,-0.03086,-1.02793,-0.10997,0.18819,-1.00543,51.2369847949594,22.5086386408657,"2015-03-31 13:38:53,954",0,0,0
0.04717,-0.03965,-0.99082,-0.12754,0.18634,-0.96671,51.2369578052312,22.5086299236864,"2015-03-31 13:38:54,053",0,0,0
0.00322,-0.07773,-0.98984,-0.09469,0.23353,-0.96039,51.2369578052312,22.5086299236864,"2015-03-31 13:38:54,147",0,0,0
0.04033,-0.09238,-1.0084,-0.13688,0.24094,-0.9748,51.2369578052312,22.5086299236864,"2015-03-31 13:38:54,247",0,0,0
0.02568,-0.08652,-0.95566,-0.11849,0.22728,-0.92507,51.2369578052312,22.5086299236864,"2015-03-31 13:38:54,347",0,0,0
0.01201,-0.0123,-0.9791,-0.092,0.16028,-0.96165,51.2369578052312,22.5086299236864,"2015-03-31 13:38:54,451",0,0,0
-0.02021,-0.09238,-1.04551,-0.08911,0.25357,-1.01479,51.2369578052312,22.5086299236864,"2015-03-31 13:38:54,551",0,0,0
0.00908,-0.13633,-1.05527,-0.13474,0.28646,-1.0159,51.2369578052312,22.5086299236864,"2015-03-31 13:38:54,651",0,0,0
-0.00752,-0.10605,-0.95566,-0.1039,0.24774,-0.92327,51.2369578052312,22.5086299236864,"2015-03-31 13:38:54,75",0,0,0
-0.01826,-0.1041,-1.01621,-0.09962,0.25689,-0.98384,51.2369578052312,22.5086299236864,"2015-03-31 13:38:54,851",0,0,0
0.02861,-0.17344,-1.09531,-0.17225,0.31724,-1.04895,51.2369578052312,22.5086299236864,"2015-03-31 13:38:54,951",0,0,0
0.0667,-0.18223,-1.1168,-0.21424,0.31104,-1.06876,51.2369163986295,22.5086040236056,"2015-03-31 13:38:55,052",0,0,0
0.03057,-0.11387,-1.18516,-0.16597,0.26721,-1.14872,51.2369163986295,22.5086040236056,"2015-03-31 13:38:55,147",0,0,0
0.00225,-0.07188,-1.14121,-0.12208,0.22159,-1.11513,51.2369163986295,22.5086040236056,"2015-03-31 13:38:55,245",0,0,0
-0.02119,-0.15977,-0.94785,-0.10909,0.26974,-0.91637,51.2369163986295,22.5086040236056,"2015-03-31 13:38:55,346",0,0,0
-0.01045,-0.23789,-0.73496,-0.12772,0.29928,-0.7007,51.2369163986295,22.5086040236056,"2015-03-31 13:38:55,446",0,0,0
0.00713,-0.3043,-0.76719,-0.17083,0.3523,-0.72659,51.2369163986295,22.5086040236056,"2015-03-31 13:38:55,546",0,0,0
0.04131,-0.15977,-0.90293,-0.16173,0.22264,-0.87566,51.2369163986295,22.5086040236056,"2015-03-31 13:38:55,647",0,0,0
0.01787,-0.15977,-1.04941,-0.15879,0.25355,-1.01863,51.2369163986295,22.5086040236056,"2015-03-31 13:38:55,747",0,0,0
-0.01924,-0.03281,-1.11289,-0.09045,0.17612,-1.0958,51.2369163986295,22.5086040236056,"2015-03-31 13:38:55,848",0,0,0
-0.02607,-0.06895,-0.95664,-0.0946,0.21198,-0.93097,51.2369163986295,22.5086040236056,"2015-03-31 13:38:55,948",0,0,0
0.04229,-0.17734,-0.94883,-0.20475,0.28912,-0.89889,51.2368754949421,22.5086119025946,"2015-03-31 13:38:56,048",0,0,0
0.02275,-0.13242,-0.90781,-0.16452,0.2487,-0.86791,51.2368754949421,22.5086119025946,"2015-03-31 13:38:56,146",0,0,0
0.0335,-0.1959,-1.00352,-0.21319,0.30982,-0.95137,51.2368754949421,22.5086119025946,"2015-03-31 13:38:56,246",0,0,0
-0.00752,-0.0582,-0.89609,-0.10877,0.18639,-0.8717,51.2368754949421,22.5086119025946,"2015-03-31 13:38:56,346",0,0,0
0.01006,-0.1959,-0.84336,-0.18641,0.29521,-0.79236,51.2368754949421,22.5086119025946,"2015-03-31 13:38:56,447",0,0,0
-0.06123,-0.1832,-0.81602,-0.1227,0.32237,-0.76434,51.2368754949421,22.5086119025946,"2015-03-31 13:38:56,547",0,0,0
0.00029,-0.06016,-1.22324,-0.18246,0.27895,-1.17849,51.2368754949421,22.5086119025946,"2015-03-31 13:38:56,647",0,0,0
0.03447,0.09902,-1.30723,-0.15879,0.15678,-1.2923,51.2368754949421,22.5086119025946,"2015-03-31 13:38:56,748",0,0,0
0.05596,-0.1041,-1.15586,-0.25128,0.28816,-1.09718,51.2368754949421,22.5086119025946,"2015-03-31 13:38:56,849",0,0,0
-0.00654,-0.15391,-0.94004,-0.18832,0.30603,-0.88221,51.2368754949421,22.5086119025946,"2015-03-31 13:38:56,949",0,0,0
-0.04072,-0.26035,-0.85508,-0.19086,0.381,-0.78678,51.2368341721594,22.5086069572717,"2015-03-31 13:38:57,047",0,0,0
-0.06416,-0.12363,-0.96934,-0.10674,0.27348,-0.93425,51.2368341721594,22.5086069572717,"2015-03-31 13:38:57,147",0,0,0
0.05889,-0.19102,-1.20371,-0.2574,0.28381,-1.15848,51.2368341721594,22.5086069572717,"2015-03-31 13:38:57,259",0,0,0
0.0501,-0.11875,-1.1002,-0.20485,0.21354,-1.06746,51.2368341721594,22.5086069572717,"2015-03-31 13:38:57,345",0,0,0
-0.02314,-0.12461,-1.03965,-0.1413,0.25356,-1.00632,51.2368341721594,22.5086069572717,"2015-03-31 13:38:57,446",0,0,0
0.03057,-0.18418,-0.93027,-0.2079,0.26229,-0.88783,51.2368341721594,22.5086069572717,"2015-03-31 13:38:57,549",0,0,0
0.00713,-0.13926,-0.98594,-0.17286,0.24377,-0.94985,51.2368341721594,22.5086069572717,"2015-03-31 13:38:57,647",0,0,0
-0.0085,-0.13047,-1.02793,-0.16135,0.25099,-0.99232,51.2368341721594,22.5086069572717,"2015-03-31 13:38:57,747",0,0,0
0.01689,-0.15195,-1.03379,-0.19479,0.25582,-0.99434,51.2368341721594,22.5086069572717,"2015-03-31 13:38:57,847",0,0,0
0.04619,-0.14512,-1.03281,-0.21481,0.23271,-0.99478,51.2368341721594,22.5086069572717,"2015-03-31 13:38:57,949",0,0,0
0.04521,-0.14902,-1.0377,-0.21541,0.23385,-0.99999,51.2367904186249,22.5086046103388,"2015-03-31 13:38:58,051",0,0,0
-0.01045,-0.15488,-0.97715,-0.16636,0.25676,-0.94091,51.2367904186249,22.5086046103388,"2015-03-31 13:38:58,147",0,0,0
-0.05049,-0.03379,-1.0416,-0.07164,0.18887,-1.02363,51.2367904186249,22.5086046103388,"2015-03-31 13:38:58,247",0,0,0
0.0042,-0.16758,-1.1207,-0.19718,0.28036,-1.08009,51.2367904186249,22.5086046103388,"2015-03-31 13:38:58,352",0,0,0
0.35283,0.05996,-0.98398,-0.34064,-0.11383,-0.98352,51.2367904186249,22.5086046103388,"2015-03-31 13:38:58,45",0,0,0
0.00713,-0.1666,-0.9752,-0.18256,0.26898,-0.93442,51.2367904186249,22.5086046103388,"2015-03-31 13:38:58,55",0,0,0
-0.11299,-0.08066,-1.14512,-0.0487,0.29255,-1.11472,51.2367904186249,22.5086046103388,"2015-03-31 13:38:58,653",0,0,0
-0.13643,-0.13145,-0.78281,-0.02862,0.29154,-0.75025,51.2367904186249,22.5086046103388,"2015-03-31 13:38:58,754",0,0,0
0.32256,-0.40293,-1.3502,-0.59094,0.31609,-1.28074,51.2367904186249,22.5086046103388,"2015-03-31 13:38:58,852",0,0,0
0.03447,-0.15,-0.96738,-0.18134,0.22433,-0.93612,51.2367904186249,22.5086046103388,"2015-03-31 13:38:58,954",0,0,0
0.04033,-0.17637,-1.00254,-0.20338,0.24303,-0.96819,51.2367453239858,22.508591953665,"2015-03-31 13:38:59,05",0,0,0
